Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,TP9,TP10,Event Id,Event Date,Event Duration
8.0000000000,0,4344.2309570313,1697.0512695313,3549.6154785156,2695.8974609375,4416.4101562500,586.9230957031,6801.6665039063,1600.7691650391,4494.4873046875,5531.0258789063,4506.9228515625,5414.7436523438,4170.2563476563,2299.1025390625,6963.9741210938,1407.5640869141,,,
8.0078125000,0,2111.0256347656,7421.6665039063,2858.9743652344,706.4102783203,7561.2822265625,1241.1538085938,3392.0512695313,977.3076782227,1062.4359130859,6984.4873046875,7860.6411132813,5124.6152343750,248.4615325928,7634.6152343750,328.4615173340,6082.9487304688,,,
8.0156250000,0,5535.0000000000,2323.7180175781,1018.3333129883,2709.7436523438,1697.1794433594,8337.0517578125,4687.1796875000,1303.8461914063,2981.5385742188,1293.9743652344,6405.1284179688,2157.8205566406,6237.1796875000,6405.3847656250,4120.3847656250,5892.8203125000,,,
8.0234375000,0,6090.6411132813,3111.0256347656,546.7948608398,6876.4101562500,1486.9230957031,5796.1538085938,5728.3334960938,4363.8461914063,5375.3847656250,7882.1796875000,5670.7690429688,6228.9741210938,7994.7436523438,1634.8718261719,1666.2821044922,1063.0769042969,,,
8.0312500000,0,7959.6152343750,346.6666564941,2568.2050781250,735.3845825195,5716.5385742188,7523.2050781250,1679.4871826172,4060.7692871094,7810.3847656250,4170.3847656250,2761.9230957031,6620.7690429688,1118.3333740234,5951.1538085938,4282.5639648438,2151.2819824219,,,
8.0390625000,0,2461.2819824219,3121.1538085938,500.2564086914,4375.6411132813,2448.5898437500,6273.8461914063,4481.6665039063,7196.4101562500,4276.5385742188,6953.4614257813,1869.8718261719,4612.1796875000,6355.6411132813,4183.9741210938,1982.0512695313,6923.5898437500,,,
8.0468750000,0,6760.6411132813,7529.3588867188,6448.2050781250,8112.9487304688,3157.0512695313,1737.3077392578,7620.7690429688,990.3845825195,981.4102783203,3765.7692871094,920.1281738281,7268.5898437500,6795.7690429688,1302.9487304688,4715.6411132813,5454.1025390625,,,
8.0546875000,0,6895.0000000000,6171.6665039063,5610.1284179688,1126.2821044922,5595.3847656250,610.8973999023,6626.0258789063,7512.8203125000,292.9486999512,1816.5384521484,2408.7180175781,6230.6411132813,1254.3590087891,3775.8974609375,4472.4360351563,4908.9741210938,,,
8.0625000000,0,7780.7690429688,1670.1281738281,4258.0771484375,5176.6665039063,257.6922912598,4849.6152343750,7374.7436523438,3128.7180175781,4302.4360351563,8087.6923828125,3005.2563476563,5351.1538085938,550.3845825195,5047.5639648438,186.2820434570,1822.0512695313,,,
8.0703125000,0,500.5128173828,903.0769042969,2021.6666259766,3818.5898437500,7147.9487304688,3510.6411132813,7880.1284179688,7778.5898437500,8168.8461914063,6664.1025390625,1701.7949218750,1421.0256347656,5713.8461914063,5232.8203125000,7447.9487304688,1350.5128173828,,,
8.0781250000,0,1145.2563476563,2614.1025390625,1101.6666259766,5125.0000000000,521.7948608398,453.5897216797,922.8204956055,3883.4614257813,1560.5128173828,741.1538085938,8280.2568359375,1427.8205566406,4100.0000000000,4806.6665039063,1818.5897216797,7237.4360351563,,,
8.0859375000,0,262.4358825684,4379.3588867188,5571.1538085938,4647.0512695313,2455.6411132813,7266.1538085938,8218.2050781250,2848.3332519531,327.9486999512,6571.1538085938,4997.1796875000,5047.1796875000,3763.7180175781,7123.3334960938,6714.3588867188,6757.4360351563,,,
8.0937500000,0,2656.4101562500,8340.6406250000,2392.9487304688,7230.6411132813,7587.9487304688,1576.2821044922,3883.9743652344,7511.9228515625,6400.6411132813,1775.2563476563,6811.4101562500,7100.6411132813,7267.3076171875,816.1538085938,8269.2304687500,1883.3333740234,,,
8.1015625000,0,2086.1538085938,5965.6411132813,626.7948608398,4621.0258789063,7936.9228515625,5669.4873046875,1125.3846435547,6144.6152343750,7345.1284179688,6523.3334960938,4692.8203125000,6724.2309570313,6467.3076171875,8196.2822265625,3292.1794433594,5839.7436523438,,,
8.1093750000,0,8244.3593750000,1.1538372040,6747.8203125000,108.4615325928,2337.6923828125,4845.2563476563,6643.9741210938,4846.0258789063,4330.7690429688,6755.5126953125,1902.5640869141,7417.4360351563,7632.0512695313,5613.5898437500,7640.6411132813,8281.7949218750,,,
8.1171875000,0,2415.7692871094,71.2820434570,7176.4101562500,7471.1538085938,2573.7180175781,4737.0512695313,1431.2821044922,29.7435798645,4885.3847656250,4773.8461914063,519.3589477539,1644.6153564453,7138.8461914063,7825.8974609375,745.7692260742,119.4871673584,,,
8.1250000000,0,2612.9487304688,6677.1796875000,2747.0512695313,3593.3332519531,792.4359130859,1025.8974609375,5867.8203125000,5684.8715820313,6132.5639648438,5271.4101562500,5326.9228515625,8233.2050781250,2853.0769042969,1128.4615478516,1630.0000000000,3700.3845214844,,,
8.1328125000,0,3587.0512695313,6022.0512695313,6592.8203125000,3750.7692871094,5561.5385742188,6927.1796875000,2196.1538085938,1614.6153564453,5710.2563476563,328.9743652344,991.6666870117,8286.9228515625,2526.2819824219,3251.7949218750,6890.2563476563,3446.4101562500,,,
8.1406250000,0,4589.1025390625,1363.4615478516,4281.0258789063,1188.5897216797,1030.0000000000,703.2051391602,2970.6411132813,3461.5385742188,5346.7949218750,3081.4101562500,7476.9228515625,273.0769042969,2591.6667480469,6041.4101562500,1871.1538085938,2381.5385742188,,,
8.1484375000,0,6746.1538085938,5387.5639648438,6036.7949218750,2221.7949218750,5326.9228515625,1546.0256347656,2608.8461914063,1884.2307128906,2986.5385742188,2989.3588867188,7778.5898437500,1889.7435302734,3370.8974609375,1204.1025390625,8276.2822265625,6147.8203125000,,,
8.1562500000,0,1075.3846435547,3041.7949218750,6403.5898437500,3548.3332519531,3549.6154785156,6016.5385742188,402.8204956055,3894.3588867188,6970.6411132813,24.6153755188,2685.8974609375,4171.9228515625,1135.8974609375,8331.1542968750,4603.8461914063,2032.4359130859,,,
8.1640625000,0,1338.3333740234,20.2564010620,346.5384521484,6294.4873046875,5115.2563476563,4931.0258789063,1085.3846435547,3281.0256347656,1074.1025390625,8135.8974609375,7975.5126953125,1748.7178955078,3069.8718261719,7710.5126953125,7406.0258789063,5554.6152343750,,,
8.1718750000,0,2066.6667480469,6064.7436523438,4476.9228515625,5600.3847656250,7488.9746093750,3778.8461914063,6172.3076171875,7054.4873046875,3023.3332519531,4718.9741210938,7707.0512695313,5100.8974609375,7465.1284179688,1299.7435302734,3072.5642089844,760.1281738281,,,
8.1796875000,0,4522.9487304688,2519.4870605469,7455.5126953125,3681.4101562500,5216.7949218750,3857.3076171875,2591.0256347656,6393.3334960938,5217.6923828125,4871.2822265625,7620.8974609375,3109.2307128906,160.7692260742,4011.7949218750,1515.3846435547,8155.7690429688,,,
8.1875000000,0,3445.0000000000,5635.8974609375,5548.9741210938,1957.6922607422,608.2051391602,3065.1281738281,1755.8974609375,3607.0512695313,3154.8718261719,8162.6923828125,5127.6923828125,6581.0258789063,1571.2821044922,7106.5385742188,3094.7436523438,3000.5129394531,,,
8.1953125000,0,3494.8718261719,5912.3076171875,1999.8718261719,674.8717651367,6744.3588867188,5471.6665039063,5870.0000000000,3681.1538085938,5287.0512695313,3278.5898437500,7240.3847656250,3728.0769042969,2772.0512695313,5446.1538085938,5374.7436523438,6923.8461914063,,,
8.2031250000,0,1091.1538085938,1615.7691650391,7735.2563476563,4191.7949218750,2161.4101562500,2334.4870605469,6983.4614257813,897.0512695313,3057.6923828125,1099.2307128906,3117.3076171875,5069.6152343750,5710.3847656250,3350.0000000000,3328.7180175781,4169.4873046875,,,
8.2109375000,0,680.2564086914,3812.0512695313,4706.6665039063,713.4615478516,8084.4873046875,3910.0000000000,2531.2819824219,6486.2822265625,7095.1284179688,7435.7690429688,6648.2050781250,2538.0769042969,2973.3332519531,5810.1284179688,4587.3076171875,901.2820434570,,,
8.2187500000,0,1290.7691650391,8329.7431640625,632.1795043945,7373.0771484375,305.8974304199,3014.6154785156,5413.0771484375,794.1025390625,3071.2819824219,3690.1281738281,4753.3334960938,362.1794738770,5730.2563476563,6025.3847656250,903.8461303711,2502.1794433594,,,
8.2265625000,0,8077.6923828125,4612.3076171875,2980.0000000000,3652.5642089844,1600.0000000000,6967.3076171875,2195.3845214844,7168.8461914063,8361.7949218750,4581.1538085938,4814.4873046875,144.9999847412,2199.6154785156,5034.8715820313,535.2564086914,6890.0000000000,,,
8.2343750000,0,198.3333282471,2411.1538085938,2330.8974609375,1195.8974609375,1811.5384521484,8355.3847656250,1811.4102783203,4614.3588867188,3797.5642089844,8026.2822265625,6436.6665039063,3106.1538085938,1405.7691650391,6111.2822265625,1873.4615478516,3566.2819824219,,,
8.2421875000,0,3853.9743652344,289.8717956543,4723.7177734375,3433.7180175781,4399.6152343750,79.6153793335,1419.6153564453,5330.8974609375,3801.1538085938,7002.0512695313,2237.5642089844,1449.8718261719,6460.7690429688,3258.9743652344,6893.8461914063,7023.8461914063,,,
8.2500000000,0,7724.2309570313,817.3076782227,3759.8718261719,742.0512695313,2482.4357910156,6676.2822265625,854.7435913086,6417.8203125000,5041.2822265625,3052.0512695313,4146.9228515625,6246.9228515625,5948.3334960938,5.5128116608,1085.7691650391,3488.4614257813,,,
8.2578125000,0,5591.4101562500,6491.7949218750,4846.1538085938,7531.1538085938,7082.8203125000,7078.5898437500,1918.8461914063,7321.5385742188,5315.1284179688,3399.2307128906,6025.1284179688,8221.9228515625,889.2307739258,4846.6665039063,5396.0258789063,7194.2309570313,,,
8.2656250000,0,6516.1538085938,188.7179412842,4859.4873046875,2868.4614257813,7498.7177734375,3201.9230957031,7125.8974609375,7218.0771484375,6261.1538085938,4595.5126953125,528.5897216797,312.0512695313,6290.7690429688,261.5384521484,7152.1796875000,1866.9230957031,,,
8.2734375000,0,4629.7436523438,3318.7180175781,5488.7177734375,2095.8974609375,3287.4357910156,7527.3076171875,4965.6411132813,8362.6923828125,6707.5639648438,4983.3334960938,6673.7177734375,7947.4360351563,7350.2563476563,7864.6152343750,497.1794738770,3954.8718261719,,,
8.2812500000,0,5038.5898437500,2066.6667480469,67.4358901978,4985.2563476563,1671.0256347656,3581.7949218750,2383.3332519531,7480.2563476563,7773.8461914063,141.7948608398,5300.0000000000,6149.4873046875,4688.5898437500,633.5897216797,187.4358825684,7426.6665039063,,,
8.2890625000,0,760.8973999023,11.2820425034,7720.0000000000,7107.8203125000,5492.1796875000,4349.3588867188,3215.7692871094,6199.6152343750,1480.2563476563,681.7948608398,698.7179565430,4681.7949218750,473.9743652344,7792.5639648438,2115.7692871094,5034.6152343750,,,
8.2968750000,0,7233.0771484375,5780.0000000000,4675.6411132813,8256.0253906250,373.2051086426,5690.5126953125,6652.0512695313,5796.1538085938,5391.2822265625,3123.2050781250,282.8204956055,4566.4101562500,4217.9487304688,475.1282043457,521.5384521484,4811.0258789063,,,
8.3046875000,0,3660.6411132813,3544.7436523438,6620.1284179688,1169.3590087891,2328.4614257813,4743.0771484375,7946.1538085938,7350.1284179688,7990.2563476563,1948.9743652344,4933.0771484375,2231.0256347656,5633.4614257813,8377.5644531250,8292.6923828125,2737.9487304688,,,
8.3125000000,0,3343.7180175781,616.5384521484,2485.2563476563,382.6922912598,2.9487090111,1739.7435302734,1806.0256347656,433.9743652344,1631.0256347656,226.1538391113,71.1538391113,6442.0512695313,119.1025543213,774.8717651367,5239.1025390625,7850.0000000000,,,
8.3203125000,0,3946.4101562500,762.8204956055,7832.0512695313,7365.7690429688,4119.1025390625,6148.7177734375,7173.5898437500,7138.3334960938,3650.3845214844,6631.6665039063,4018.3332519531,5559.8715820313,4902.5639648438,2035.7692871094,1277.5640869141,1413.9743652344,,,
8.3281250000,0,5436.0258789063,7673.8461914063,1198.4615478516,4905.0000000000,3423.0769042969,5179.8715820313,620.7692260742,3074.4870605469,7393.3334960938,6191.1538085938,4914.8715820313,8373.5898437500,7938.8461914063,69.3589630127,730.7692260742,2541.0256347656,,,
8.3359375000,0,1179.8718261719,2020.1281738281,7485.7690429688,4545.6411132813,7879.7436523438,4494.2309570313,5632.8203125000,6643.4614257813,2877.0512695313,4045.5129394531,7332.3076171875,2135.8974609375,5111.4101562500,1208.2050781250,1178.0769042969,6795.1284179688,,,
8.3437500000,0,4627.3076171875,2959.3588867188,6505.0000000000,1489.7435302734,5512.9487304688,3245.6411132813,7407.3076171875,6053.9741210938,6996.1538085938,7735.5126953125,3088.3332519531,2564.2307128906,712.6923217773,4820.8974609375,6987.9487304688,128.3333282471,,,
8.3515625000,0,3999.7436523438,3781.6667480469,4416.0258789063,509.8717956543,171.0256347656,5758.0771484375,3528.4614257813,2502.8205566406,3854.7436523438,6982.3076171875,2275.7692871094,5933.2050781250,2991.0256347656,5694.8715820313,5967.8203125000,5353.8461914063,,,
8.3593750000,0,1439.1025390625,2098.8461914063,6756.2822265625,3693.8461914063,64.9999923706,8091.1538085938,7445.1284179688,3616.7949218750,5275.5126953125,4837.8203125000,5732.0512695313,5208.4614257813,3919.4870605469,7979.6152343750,3221.6667480469,6135.7690429688,,,
8.3671875000,0,706.0256347656,7751.9228515625,3777.8205566406,6904.6152343750,143.3333282471,6632.5639648438,4658.7177734375,8293.5898437500,1271.5384521484,1624.6153564453,4739.7436523438,5760.6411132813,5870.7690429688,5915.1284179688,2487.0512695313,312.6922912598,,,
8.3750000000,0,4398.9741210938,1890.0000000000,619.4871826172,2876.0256347656,2232.3076171875,5663.5898437500,3421.7949218750,6374.8715820313,5171.9228515625,4384.6152343750,7385.8974609375,1318.0769042969,2658.4614257813,3603.8461914063,3316.9230957031,2383.7180175781,,,
