Time:256Hz,Epoch,Oscillator 1,Oscillator 2,Oscillator 3,Oscillator 4,Label,Stage
12.0,0,-0.0779465884,-0.0285286605,-0.1839525998,-0.5224040151,p,speaking
12.00390625,0,-0.012239187,-0.5822889805,-0.5411857963,0.5152828693,p,speaking
12.0078125,0,0.1177516654,-0.9810346365,-1.2464025021,0.6061900854,p,speaking
12.01171875,0,0.3042624891,-1.1313406229,-1.8525762558,-0.0844522938,p,speaking
12.015625,0,0.53543365,-1.0078524351,-1.959802866,-0.5923476815,p,speaking
12.01953125,0,0.7961363792,-0.6600122452,-1.4549517632,-0.1461165547,p,speaking
12.0234375,0,1.0690274239,-0.1982875466,-0.5798550248,1.0379655361,p,speaking
12.02734375,0,1.3357596397,0.236320585,0.2128028423,1.9702831507,p,speaking
12.03125,0,1.5782616138,0.5111319423,0.5296193957,1.8926261663,p,speaking
12.03515625,0,1.7799994946,0.5383521914,0.2709043026,1.0475587845,p,speaking
12.0390625,0,1.9271310568,0.2993261516,-0.3109405935,0.426925987,p,speaking
12.04296875,0,2.0094735622,-0.1501705647,-0.7640221119,0.7564439774,p,speaking
12.046875,0,2.0212154388,-0.6950526834,-0.70913589,1.7533599138,p,speaking
12.05078125,0,1.9613246918,-1.192317009,-0.068524003,2.415268898,p,speaking
12.0546875,0,1.8336228132,-1.5101031065,0.8857952952,2.045144558,p,speaking
12.05859375,0,1.6465229988,-1.5637174845,1.6930992603,0.9657977819,p,speaking
12.0625,0,1.4124455452,-1.3387513161,1.9780261517,0.1940716803,p,speaking
12.06640625,0,1.146956563,-0.8949549198,1.6735696793,0.4073263705,p,speaking
12.0703125,0,0.8676863313,-0.3498087525,1.0595189333,1.2574148178,p,speaking
12.07421875,0,0.5931041241,0.1537054777,0.5933590531,1.7324779034,p,speaking
12.078125,0,0.34123528,0.4863010645,0.6349154711,1.1968679428,p,speaking
12.08203125,0,0.1284090132,0.5678067803,1.2296417952,0.0470135882,p,speaking
12.0859375,0,-0.0318750143,0.3891037405,2.0803360939,-0.6867732406,p,speaking
12.08984375,0,-0.1298826486,0.0145671759,2.724240303,-0.3861793876,p,speaking
12.09375,0,-0.1603183746,-0.4356561005,2.8095018864,0.5293251872,p,speaking
12.09765625,0,-0.1226887181,-0.8186764717,2.3054711819,1.0356183052,p,speaking
12.1015625,0,-0.0213305987,-1.008143425,1.5209275484,0.5534940958,p,speaking
