Time:128Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Event Id,Event Date,Event Duration
8.0000000000,0,5550.8974609375,6200.3847656250,5178.9741210938,7152.6923828125,3969.8718261719,2402.6923828125,487.0512695313,1385.7691650391,372.5640869141,7497.5639648438,3471.9230957031,7111.9228515625,6103.7177734375,640.5128173828,3391.7949218750,7711.6665039063,,,
8.0078125000,0,4724.2309570313,405.1282043457,4898.5898437500,2589.4870605469,7815.7690429688,806.1538085938,7087.9487304688,5390.3847656250,6809.1025390625,3260.6411132813,6066.6665039063,7847.5639648438,7804.6152343750,1198.0769042969,3597.9487304688,5849.7436523438,,,
8.0156250000,0,3123.9743652344,5748.8461914063,2704.6154785156,4166.7949218750,5777.1796875000,6636.4101562500,6218.9741210938,5583.8461914063,2726.0256347656,1734.4871826172,5017.4360351563,1333.7178955078,2167.0512695313,3205.7692871094,3277.0512695313,7548.4614257813,,,
8.0234375000,0,1185.2563476563,6372.9487304688,6381.5385742188,954.7435913086,148.3333282471,7225.0000000000,6146.0258789063,1024.8718261719,2179.1025390625,8118.4614257813,678.2051391602,1716.9230957031,7941.2822265625,2625.7692871094,1567.3077392578,2950.6411132813,,,
8.0312500000,0,6327.5639648438,1426.7949218750,7426.4101562500,914.8717651367,5374.3588867188,3862.0512695313,6942.0512695313,2002.4359130859,6369.4873046875,1647.3077392578,1592.4359130859,2909.6154785156,4170.8974609375,5181.7949218750,7974.6152343750,1118.8461914063,,,
8.0390625000,0,6168.0771484375,4952.6923828125,5905.7690429688,6091.5385742188,7626.6665039063,7181.6665039063,2825.7692871094,7564.8715820313,3292.9487304688,4987.4360351563,3590.8974609375,2215.5126953125,4740.3847656250,1411.6666259766,5232.1796875000,7970.1284179688,,,
8.0468750000,0,2039.6153564453,1376.6666259766,7821.7949218750,1266.1538085938,4215.6411132813,2620.7692871094,7011.0258789063,4733.5898437500,1358.5897216797,2322.6923828125,589.3589477539,1702.6922607422,5429.1025390625,8148.5898437500,2738.8461914063,2919.1025390625,,,
8.0546875000,0,6329.1025390625,4228.9741210938,3990.0000000000,5528.0771484375,6274.2309570313,1670.2563476563,5824.8715820313,7637.3076171875,1185.5128173828,188.3333282471,1630.5128173828,7061.0258789063,4001.5385742188,2702.9487304688,4558.2050781250,2156.0256347656,,,
8.0625000000,0,242.5640869141,6428.9741210938,5473.3334960938,7526.1538085938,265.1282043457,2342.1794433594,1658.2050781250,391.5384521484,422.5640869141,7353.7177734375,356.1538391113,4857.4360351563,1033.4615478516,5045.8974609375,6240.6411132813,1824.4871826172,,,
8.0703125000,0,6556.0258789063,6345.8974609375,3915.7692871094,6418.7177734375,2390.7692871094,2397.5642089844,7157.3076171875,1203.2050781250,2120.2563476563,3106.4101562500,4515.6411132813,2697.4357910156,2222.0512695313,2059.7436523438,1756.5384521484,6980.8974609375,,,
8.0781250000,0,6581.9228515625,2180.3845214844,1351.7949218750,6520.8974609375,4785.5126953125,6257.9487304688,7533.2050781250,4432.8203125000,6110.3847656250,4756.2822265625,8310.6406250000,435.8974304199,1300.3846435547,1538.9743652344,3961.1538085938,4386.1538085938,,,
8.0859375000,0,5552.5639648438,3420.7692871094,5430.3847656250,4689.1025390625,2898.2050781250,3891.2819824219,5666.1538085938,4459.7436523438,1350.2563476563,6075.5126953125,3047.4357910156,4280.1284179688,1828.0769042969,2169.1025390625,3385.1281738281,1335.8974609375,,,
8.0937500000,0,2071.2819824219,6504.6152343750,2800.6411132813,7536.5385742188,6381.9228515625,2672.9487304688,7811.5385742188,7732.6923828125,3424.3588867188,1833.7178955078,1705.5128173828,474.1025695801,5780.2563476563,3092.4357910156,2677.5642089844,6477.6923828125,,,
8.1015625000,0,2296.4101562500,4449.6152343750,7238.8461914063,3629.3588867188,3182.8205566406,4722.5639648438,754.1025390625,4957.3076171875,4443.7177734375,61.2820434570,3176.1538085938,2767.9487304688,6519.6152343750,4926.9228515625,7866.9228515625,2742.6923828125,,,
8.1093750000,0,5336.7949218750,1929.7435302734,5622.5639648438,7589.6152343750,5082.5639648438,3265.1281738281,1383.3333740234,5000.5126953125,4147.3076171875,4127.6923828125,5675.8974609375,4009.3588867188,2553.0769042969,1861.2821044922,7169.7436523438,432.4358825684,,,
8.1171875000,0,7067.1796875000,6209.8715820313,6753.0771484375,74.9999923706,7365.5126953125,7306.9228515625,6815.5126953125,6659.7436523438,3786.2819824219,4034.4870605469,5023.3334960938,2603.0769042969,6293.7177734375,8275.0000000000,3487.0512695313,4495.7690429688,,,
8.1250000000,0,2864.2307128906,5354.4873046875,4320.7690429688,8018.0771484375,6462.6923828125,6561.2822265625,8316.2822265625,412.0512695313,7237.9487304688,3870.5129394531,1942.6922607422,4841.5385742188,270.5128173828,1354.6153564453,4270.1284179688,3702.3076171875,,,
8.1328125000,0,7407.1796875000,2231.1538085938,4238.2050781250,3269.4870605469,3243.5898437500,7597.9487304688,5378.5898437500,5830.0000000000,2626.7949218750,4670.2563476563,556.4102783203,6024.2309570313,5515.6411132813,1534.1025390625,7367.8203125000,2776.2819824219,,,
8.1406250000,0,5287.8203125000,1897.9487304688,4924.4873046875,4623.5898437500,8320.1279296875,1154.4871826172,8340.1279296875,3571.6667480469,1631.5384521484,1535.2563476563,1943.8461914063,1876.1538085938,7802.8203125000,3902.0512695313,206.6666564941,2519.6154785156,,,
8.1484375000,0,1562.5640869141,4961.6665039063,8377.1796875000,613.7179565430,7794.2309570313,8198.9746093750,3469.6154785156,1169.2307128906,2323.2050781250,2161.9230957031,6848.3334960938,1222.9487304688,5444.2309570313,5790.1284179688,5646.2822265625,3805.2563476563,,,
8.1562500000,0,7342.0512695313,552.9487304688,161.6666564941,1255.0000000000,6768.2050781250,136.4102478027,6585.8974609375,6835.7690429688,6659.4873046875,67.1794815063,3730.1281738281,670.6409912109,7898.7177734375,1674.7435302734,7149.8715820313,4311.4101562500,,,
8.1640625000,0,5787.8203125000,5181.7949218750,7410.1284179688,7380.3847656250,2918.7180175781,5447.9487304688,1044.1025390625,1009.3589477539,4232.9487304688,6312.0512695313,7770.0000000000,2296.2819824219,4119.2309570313,887.0512695313,6855.8974609375,3400.5129394531,,,
8.1718750000,0,6616.9228515625,2527.3076171875,5823.7177734375,4546.1538085938,2562.1794433594,3244.8718261719,544.7435913086,2271.5385742188,3449.6154785156,5746.7949218750,3943.9743652344,4473.5898437500,6759.1025390625,7313.0771484375,6340.7690429688,5948.0771484375,,,
8.1796875000,0,7331.4101562500,3181.0256347656,123.5897369385,8048.8461914063,2801.4101562500,3261.0256347656,5785.0000000000,4994.1025390625,5666.0258789063,2779.3588867188,5750.2563476563,1487.1794433594,2868.9743652344,5865.2563476563,6713.0771484375,4147.6923828125,,,
8.1875000000,0,95.7692184448,5354.7436523438,8292.3076171875,2966.0256347656,5048.7177734375,6870.1284179688,6115.0000000000,6722.0512695313,4338.3334960938,2383.2050781250,3037.1794433594,6457.3076171875,8095.6411132813,308.0769042969,1295.3846435547,2820.5129394531,,,
8.1953125000,0,2155.2563476563,3339.3588867188,2661.1538085938,5724.8715820313,7028.5898437500,4095.3845214844,1377.6922607422,1543.2050781250,1602.3077392578,8061.9228515625,5598.7177734375,5283.2050781250,7289.3588867188,6625.1284179688,4082.4357910156,3443.2050781250,,,
8.2031250000,0,8371.2822265625,4281.5385742188,6595.3847656250,3086.7949218750,6966.7949218750,281.2820434570,6948.3334960938,2300.6411132813,5510.0000000000,2289.1025390625,3445.1281738281,5179.2309570313,196.1538391113,1561.2821044922,7610.1284179688,7692.6923828125,,,
8.2109375000,0,3446.1538085938,4516.1538085938,4378.0771484375,7647.8203125000,7647.9487304688,4094.2307128906,3301.1538085938,38.7179412842,850.0000000000,3527.0512695313,8296.6669921875,4742.1796875000,5295.7690429688,3777.8205566406,3778.0769042969,2155.7692871094,,,
8.2187500000,0,119.7435836792,7716.4101562500,7821.1538085938,5028.3334960938,4269.1025390625,7529.1025390625,1324.1025390625,6404.6152343750,4809.3588867188,1653.2050781250,4039.1025390625,6691.2822265625,4181.0258789063,5275.0000000000,4449.2309570313,4347.1796875000,,,
