Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Ref1,Ref2,Label,Stage
8.0,0,4344.230957,1697.05127,3549.615479,2695.897461,4416.410156,586.9230957,6801.666504,1600.769165,4494.487305,5531.025879,4506.922852,5414.743652,4170.256348,2299.102539,6963.974121,1407.564087,thought,articulators
8.0078125,0,2111.025635,7421.666504,2858.974365,706.4102783,7561.282227,1241.153809,3392.05127,977.3076782,1062.435913,6984.487305,7860.641113,5124.615234,248.4615326,7634.615234,328.4615173,6082.94873,thought,articulators
8.015625,0,5535.0,2323.718018,1018.333313,2709.743652,1697.179443,8337.051758,4687.179688,1303.846191,2981.538574,1293.974365,6405.128418,2157.820557,6237.179688,6405.384766,4120.384766,5892.820313,thought,articulators
8.0234375,0,6090.641113,3111.025635,546.7948608,6876.410156,1486.923096,5796.153809,5728.333496,4363.846191,5375.384766,7882.179688,5670.769043,6228.974121,7994.743652,1634.871826,1666.282104,1063.076904,thought,articulators
8.03125,0,7959.615234,346.6666565,2568.205078,735.3845825,5716.538574,7523.205078,1679.487183,4060.769287,7810.384766,4170.384766,2761.923096,6620.769043,1118.333374,5951.153809,4282.563965,2151.281982,thought,articulators
8.0390625,0,2461.281982,3121.153809,500.2564087,4375.641113,2448.589844,6273.846191,4481.666504,7196.410156,4276.538574,6953.461426,1869.871826,4612.179688,6355.641113,4183.974121,1982.05127,6923.589844,thought,articulators
8.046875,0,6760.641113,7529.358887,6448.205078,8112.94873,3157.05127,1737.307739,7620.769043,990.3845825,981.4102783,3765.769287,920.1281738,7268.589844,6795.769043,1302.94873,4715.641113,5454.102539,thought,articulators
8.0546875,0,6895.0,6171.666504,5610.128418,1126.282104,5595.384766,610.8973999,6626.025879,7512.820313,292.9487,1816.538452,2408.718018,6230.641113,1254.359009,3775.897461,4472.436035,4908.974121,thought,articulators
8.0625,0,7780.769043,1670.128174,4258.077148,5176.666504,257.6922913,4849.615234,7374.743652,3128.718018,4302.436035,8087.692383,3005.256348,5351.153809,550.3845825,5047.563965,186.2820435,1822.05127,thought,articulators
8.0703125,0,500.5128174,903.0769043,2021.666626,3818.589844,7147.94873,3510.641113,7880.128418,7778.589844,8168.846191,6664.102539,1701.794922,1421.025635,5713.846191,5232.820313,7447.94873,1350.512817,thought,articulators
8.078125,0,1145.256348,2614.102539,1101.666626,5125.0,521.7948608,453.5897217,922.8204956,3883.461426,1560.512817,741.1538086,8280.256836,1427.820557,4100.0,4806.666504,1818.589722,7237.436035,thought,articulators
8.0859375,0,262.4358826,4379.358887,5571.153809,4647.05127,2455.641113,7266.153809,8218.205078,2848.333252,327.9487,6571.153809,4997.179688,5047.179688,3763.718018,7123.333496,6714.358887,6757.436035,thought,articulators
8.09375,0,2656.410156,8340.640625,2392.94873,7230.641113,7587.94873,1576.282104,3883.974365,7511.922852,6400.641113,1775.256348,6811.410156,7100.641113,7267.307617,816.1538086,8269.230469,1883.333374,thought,articulators
8.1015625,0,2086.153809,5965.641113,626.7948608,4621.025879,7936.922852,5669.487305,1125.384644,6144.615234,7345.128418,6523.333496,4692.820313,6724.230957,6467.307617,8196.282227,3292.179443,5839.743652,thought,articulators
8.109375,0,8244.359375,1.153837204,6747.820313,108.4615326,2337.692383,4845.256348,6643.974121,4846.025879,4330.769043,6755.512695,1902.564087,7417.436035,7632.05127,5613.589844,7640.641113,8281.794922,thought,articulators
8.1171875,0,2415.769287,71.28204346,7176.410156,7471.153809,2573.718018,4737.05127,1431.282104,29.74357986,4885.384766,4773.846191,519.3589478,1644.615356,7138.846191,7825.897461,745.7692261,119.4871674,thought,articulators
8.125,0,2612.94873,6677.179688,2747.05127,3593.333252,792.4359131,1025.897461,5867.820313,5684.871582,6132.563965,5271.410156,5326.922852,8233.205078,2853.076904,1128.461548,1630.0,3700.384521,thought,articulators
8.1328125,0,3587.05127,6022.05127,6592.820313,3750.769287,5561.538574,6927.179688,2196.153809,1614.615356,5710.256348,328.9743652,991.666687,8286.922852,2526.281982,3251.794922,6890.256348,3446.410156,thought,articulators
